planetName,discoveryMethod,planetsInSystem,orbitalPeriod,orbitalSemiMajorAxis,orbitalEccentricity,planetDensity,orbitalInclination,rightAscension,Declination,distanceParsecs,vBand,stellarTemperature,solarMass,solarRadii,periastronDays,planetEarthMasses,planetEarthMassSinI,planetEarthRadii,planetSolarRadii,stellarRadialVelocity,spectralType,stellarLuminosity,stellarDensity
Kepler-286 e,Transit,4,29.221289,0.176,,,,290.676147,48.294289,,,5580,,0.86,,,,1.77,0.016,,,,
Kepler-287 b,Transit,2,20.342199,0.145,,,,290.92746,48.44355,,,5806,,1.03,,,,2.33,0.021,,,,
Kepler-287 c,Transit,2,44.851896,0.246,,,,290.92746,48.44355,,,5806,,1.03,,,,3.26,0.03,,,,
Kepler-288 b,Transit,3,6.097326,0.065,,,,288.916412,39.594715,,,5918,0.89,1.09,,,,1.67,0.015,,,,
Kepler-288 c,Transit,3,19.305772,0.14,,,,288.916412,39.594715,,,5918,0.89,1.09,,,,2.85,0.026,,,,
Kepler-288 d,Transit,3,56.633742,0.287,,,,288.916412,39.594715,,,5918,0.89,1.09,,,,2.67,0.025,,,,
Kepler-289 b,Transit,2,34.543901,0.212,,,,297.465332,42.882851,,,5930,1.24,1.16,,,,2.43,0.022,,,,
Kepler-289 c,Transit,2,125.866438,0.502,,,,297.465332,42.882851,,,5930,1.24,1.16,,,,13.04,0.12,,,,
Kepler-290 b,Transit,2,14.589347,0.11,,,,286.409973,42.681553,,,5147,,0.74,,,,2.25,0.021,,,,
Kepler-290 c,Transit,2,36.77031,0.205,,,,286.409973,42.681553,,,5147,,0.74,,,,2.7,0.025,,,,
Kepler-291 b,Transit,2,3.546511,0.047,,,,287.916351,42.437302,,,6002,1.03,1.02,,,,2.16,0.02,,,,
Kepler-291 c,Transit,2,5.700786,0.065,,,,287.916351,42.437302,,,6002,1.03,1.02,,,,1.88,0.017,,,,
Kepler-292 b,Transit,5,2.580827,0.035,,,,295.766144,42.424286,,,5299,0.88,0.83,,,,1.32,0.012,,,,
Kepler-292 c,Transit,5,3.715335,0.045,,,,295.766144,42.424286,,,5299,0.88,0.83,,,,1.47,0.013,,,,
Kepler-292 d,Transit,5,7.055679,0.068,,,,295.766144,42.424286,,,5299,0.88,0.83,,,,2.23,0.021,,,,
Kepler-292 e,Transit,5,11.97901,0.097,,,,295.766144,42.424286,,,5299,0.88,0.83,,,,2.67,0.025,,,,
Kepler-292 f,Transit,5,20.834237,0.141,,,,295.766144,42.424286,,,5299,0.88,0.83,,,,2.35,0.022,,,,
Kepler-293 b,Transit,2,19.254196,0.144,,,,286.358063,42.406509,,,5804,1.01,0.96,,,,3.07,0.028,,,,
Kepler-293 c,Transit,2,54.155743,0.286,,,,286.358063,42.406509,,,5804,1.01,0.96,,,,3.83,0.035,,,,
Kepler-294 b,Transit,2,3.701212,0.048,,,,287.391998,46.059311,,,5913,,0.98,,,,1.77,0.016,,,,
Kepler-294 c,Transit,2,6.6264,0.071,,,,287.391998,46.059311,,,5913,,0.98,,,,2.71,0.025,,,,
Kepler-295 b,Transit,3,12.645164,0.099,,,,285.345856,45.367786,,,5603,,0.9,,,,1.22,0.011,,,,
Kepler-295 c,Transit,3,21.526258,0.142,,,,285.345856,45.367786,,,5603,,0.9,,,,1.17,0.011,,,,
Kepler-295 d,Transit,3,33.884054,0.192,,,,285.345856,45.367786,,,5603,,0.9,,,,1.36,0.013,,,,
Kepler-296 b,Transit,5,3.621457,0.039,,,,286.540009,49.437325,,,4249,,0.56,,,,0.94,0.009,,,,
Kepler-296 c,Transit,5,5.841648,0.054,,,,286.540009,49.437325,,,4249,,0.56,,,,2.15,0.02,,,,
Kepler-296 d,Transit,5,19.850242,0.122,,,,286.540009,49.437325,,,4249,,0.56,,,,2.28,0.021,,,,
Kepler-296 e,Transit,5,34.142347,0.174,,,,286.540009,49.437325,,,4249,,0.56,,,,1.75,0.016,,,,
Kepler-296 f,Transit,5,63.335879,0.263,,,,286.540009,49.437325,,,4249,,0.56,,,,1.79,0.016,,,,
Kepler-297 b,Transit,2,38.871826,0.217,,,,283.209167,48.777645,,,5619,,0.92,,,,2.87,0.026,,,,
Kepler-297 c,Transit,2,74.920137,0.336,,,,283.209167,48.777645,,,5619,,0.92,,,,6.54,0.06,,,,
Kepler-298 b,Transit,3,10.475464,0.08,,,,283.039795,48.825359,,,4465,0.65,0.58,,,,1.96,0.018,,,,
Kepler-298 c,Transit,3,22.92881,0.136,,,,283.039795,48.825359,,,4465,0.65,0.58,,,,1.93,0.018,,,,
Kepler-298 d,Transit,3,77.473633,0.305,,,,283.039795,48.825359,,,4465,0.65,0.58,,,,2.5,0.023,,,,
Kepler-299 b,Transit,4,2.927128,0.04,,,,283.20697,48.580502,,,5617,0.97,1.03,,,,1.32,0.012,,,,
Kepler-299 c,Transit,4,6.885875,0.07,,,,283.20697,48.580502,,,5617,0.97,1.03,,,,2.65,0.024,,,,
Kepler-299 d,Transit,4,15.054786,0.118,,,,283.20697,48.580502,,,5617,0.97,1.03,,,,1.86,0.017,,,,
Kepler-299 e,Transit,4,38.285489,0.22,,,,283.20697,48.580502,,,5617,0.97,1.03,,,,1.87,0.017,,,,
Kepler-300 b,Transit,2,10.446347,0.094,,,,295.288696,48.59972,,,5986,0.94,0.9,,,,1.67,0.015,,,,
Kepler-300 c,Transit,2,40.714955,0.232,,,,295.288696,48.59972,,,5986,0.94,0.9,,,,2.25,0.021,,,,
Kepler-301 b,Transit,3,2.508553,0.036,,,,283.982971,49.23299,,,5815,0.91,0.9,,,,1.35,0.012,,,,
Kepler-301 c,Transit,3,5.419026,0.06,,,,283.982971,49.23299,,,5815,0.91,0.9,,,,1.35,0.012,,,,
Kepler-301 d,Transit,3,13.751243,0.112,,,,283.982971,49.23299,,,5815,0.91,0.9,,,,1.75,0.016,,,,
Kepler-302 b,Transit,2,30.184104,0.193,,,,294.316986,43.629345,,,5740,,1.22,,,,4.06,0.037,,,,
Kepler-302 c,Transit,2,127.282184,0.503,,,,294.316986,43.629345,,,5740,,1.22,,,,12.45,0.114,,,,
Kepler-303 b,Transit,2,1.937055,0.024,,,,283.135468,43.657055,,,3944,0.59,0.48,,,,0.89,0.008,,,,
Kepler-303 c,Transit,2,7.061149,0.057,,,,283.135468,43.657055,,,3944,0.59,0.48,,,,1.14,0.011,,,,
Kepler-304 b,Transit,3,3.295709,0.039,,,,294.441772,40.557587,,,4731,0.8,0.69,,,,2.86,0.026,,,,
Kepler-304 c,Transit,3,5.315946,0.054,,,,294.441772,40.557587,,,4731,0.8,0.69,,,,2.17,0.02,,,,
Kepler-304 d,Transit,3,9.653471,0.08,,,,294.441772,40.557587,,,4731,0.8,0.69,,,,2.75,0.025,,,,
Kepler-305 b,Transit,3,5.487,,,,,299.224304,40.343182,,,5100,0.76,0.79,,10.5,,3.6,0.033,,,,
Kepler-305 c,Transit,3,8.291,,,,,299.224304,40.343182,,,5100,0.76,0.79,,6,,3.3,0.03,,,,
Kepler-305 d,Transit,3,16.738661,0.121,,,,299.224304,40.343182,,,5100,0.76,0.79,,,,2.71,0.025,,,,
Kepler-306 b,Transit,4,4.646186,0.05,,,,288.538666,40.616138,,,4954,0.82,0.72,,,,1.52,0.014,,,,
Kepler-306 c,Transit,4,7.240193,0.067,,,,288.538666,40.616138,,,4954,0.82,0.72,,,,2.35,0.022,,,,
Kepler-306 d,Transit,4,17.326644,0.12,,,,288.538666,40.616138,,,4954,0.82,0.72,,,,2.47,0.023,,,,
Kepler-306 e,Transit,4,44.840975,0.227,,,,288.538666,40.616138,,,4954,0.82,0.72,,,,2.27,0.021,,,,
Kepler-307 b,Transit,2,10.416,,,,,297.795135,40.417702,,,5445,0.98,1.08,,3.1,,3.2,0.029,,,,
Kepler-307 c,Transit,2,13.084,,,,,297.795135,40.417702,,,5445,0.98,1.08,,1.5,,2.8,0.026,,,,
Kepler-308 b,Transit,2,9.694928,0.09,,,,295.785156,40.439548,,,5895,,0.94,,,,2.12,0.019,,,,
Kepler-308 c,Transit,2,15.38231,0.123,,,,295.785156,40.439548,,,5895,,0.94,,,,2.16,0.02,,,,
Kepler-309 b,Transit,2,5.923653,0.059,,,,297.509857,46.961281,,,4713,,0.72,,,,1.56,0.014,,,,
Kepler-309 c,Transit,2,105.356383,0.401,,,,297.509857,46.961281,,,4713,,0.72,,,,2.51,0.023,,,,
Kepler-310 b,Transit,3,13.930698,0.111,,,,288.839355,46.986744,,,5797,0.85,0.88,,,,1.19,0.011,,,,
Kepler-310 c,Transit,3,56.47542,0.281,,,,288.839355,46.986744,,,5797,0.85,0.88,,,,3.38,0.031,,,,
Kepler-310 d,Transit,3,92.876125,0.392,,,,288.839355,46.986744,,,5797,0.85,0.88,,,,2.47,0.023,,,,
Kepler-311 b,Transit,2,9.176092,0.087,,,,282.061279,47.085491,,,5905,1.06,1.19,,,,1.7,0.016,,,,
Kepler-311 c,Transit,2,19.738286,0.145,,,,282.061279,47.085491,,,5905,1.06,1.19,,,,1.43,0.013,,,,
Kepler-312 b,Transit,2,1.772419,0.031,,,,298.395782,42.459755,,,6115,1.23,1.47,,,,1.29,0.012,,,,
Kepler-312 c,Transit,2,19.747412,0.153,,,,298.395782,42.459755,,,6115,1.23,1.47,,,,3.15,0.029,,,,
Kepler-313 b,Transit,2,14.970418,0.125,,,,298.294922,48.775459,,,5727,0.9,1.54,,,,2.53,0.023,,,,
Kepler-313 c,Transit,2,32.273273,0.208,,,,298.294922,48.775459,,,5727,0.9,1.54,,,,2.57,0.024,,,,
Kepler-314 b,Transit,2,2.461069,0.035,,,,294.674103,42.075588,,,5378,1.02,0.95,,,,0.83,0.008,,,,
Kepler-314 c,Transit,2,5.960392,0.064,,,,294.674103,42.075588,,,5378,1.02,0.95,,,,2.9,0.027,,,,
Kepler-315 b,Transit,2,96.101141,0.402,,,,298.023102,43.363522,,,5796,0.78,1.04,,,,3.77,0.035,,,,
Kepler-315 c,Transit,2,265.469335,0.791,,,,298.023102,43.363522,,,5796,0.78,1.04,,,,4.15,0.038,,,,
Kepler-316 b,Transit,2,2.240508,0.027,,,,290.826019,44.184109,,,4204,0.53,0.52,,,,1.06,0.01,,,,
Kepler-316 c,Transit,2,6.827766,0.058,,,,290.826019,44.184109,,,4204,0.53,0.52,,,,1.16,0.011,,,,
Kepler-317 b,Transit,2,5.524242,0.061,,,,294.943878,39.032063,,,5497,0.95,0.94,,,,2.09,0.019,,,,
Kepler-317 c,Transit,2,8.77501,0.083,,,,294.943878,39.032063,,,5497,0.95,0.94,,,,1.72,0.016,,,,
Kepler-318 b,Transit,2,4.662715,0.056,,,,298.482819,46.793617,,,5746,1.05,1.19,,,,4.71,0.043,,,,
Kepler-318 c,Transit,2,11.815007,0.105,,,,298.482819,46.793617,,,5746,1.05,1.19,,,,3.68,0.034,,,,
Kepler-319 b,Transit,3,4.362705,0.051,,,,288.811951,39.770657,,,5526,1.29,0.9,,,,1.63,0.015,,,,
Kepler-319 c,Transit,3,6.941357,0.069,,,,288.811951,39.770657,,,5526,1.29,0.9,,,,2.63,0.024,,,,
Kepler-319 d,Transit,3,31.781925,0.191,,,,288.811951,39.770657,,,5526,1.29,0.9,,,,2.29,0.021,,,,
Kepler-320 b,Transit,2,8.371554,0.085,,,,293.213562,46.175125,,,6435,,1.11,,,,1.14,0.011,,,,
Kepler-320 c,Transit,2,17.934937,0.142,,,,293.213562,46.175125,,,6435,,1.11,,,,1.37,0.013,,,,
Kepler-321 b,Transit,2,4.915379,0.057,,,,294.453674,44.145756,,,5740,1.01,1.19,,,,1.77,0.016,,,,
Kepler-321 c,Transit,2,13.093921,0.11,,,,294.453674,44.145756,,,5740,1.01,1.19,,,,2.32,0.021,,,,
Kepler-322 b,Transit,2,1.653888,0.027,,,,281.348816,44.295242,,,5388,0.91,0.89,,,,1.01,0.009,-22.96,,,
Kepler-322 c,Transit,2,4.337234,0.051,,,,281.348816,44.295242,,,5388,0.91,0.89,,,,1.67,0.015,-22.96,,,
Kepler-323 b,Transit,2,1.678327,0.028,,,,291.382233,38.127472,,,5987,1.09,1.18,,,,1.43,0.013,,,,
Kepler-323 c,Transit,2,3.553822,0.046,,,,291.382233,38.127472,,,5987,1.09,1.18,,,,1.63,0.015,,,,
Kepler-324 b,Transit,2,4.385315,0.05,,,,286.471466,49.649021,,,5194,0.86,0.84,,,,1.14,0.011,,,,
Kepler-324 c,Transit,2,51.805612,0.26,,,,286.471466,49.649021,,,5194,0.86,0.84,,,,3.15,0.029,,,,
Kepler-325 b,Transit,3,4.544439,0.053,,,,289.835449,49.825626,,,5752,0.87,1,,,,2.91,0.027,,,,
Kepler-325 c,Transit,3,12.762172,0.105,,,,289.835449,49.825626,,,5752,0.87,1,,,,2.54,0.023,,,,
Kepler-325 d,Transit,3,38.715185,0.22,,,,289.835449,49.825626,,,5752,0.87,1,,,,2.79,0.026,,,,
Kepler-326 b,Transit,3,2.248329,0.032,,,,294.325531,46.002254,,,5105,0.98,0.8,,,,1.52,0.014,,,,
Kepler-326 c,Transit,3,4.580358,0.051,,,,294.325531,46.002254,,,5105,0.98,0.8,,,,1.4,0.013,,,,
Kepler-326 d,Transit,3,6.766888,0.066,,,,294.325531,46.002254,,,5105,0.98,0.8,,,,1.21,0.011,,,,
Kepler-327 b,Transit,3,2.549575,0.029,,,,292.642365,44.087673,,,3799,0.55,0.49,,,,1.11,0.01,,,,
Kepler-327 c,Transit,3,5.212333,0.047,,,,292.642365,44.087673,,,3799,0.55,0.49,,,,1.03,0.009,,,,
Kepler-327 d,Transit,3,13.969457,0.09,,,,292.642365,44.087673,,,3799,0.55,0.49,,,,1.73,0.016,,,,
Kepler-328 b,Transit,2,34.921,,,,,295.809296,40.008503,,,5914,1.15,1.06,,28.5,,2.3,0.021,,,,
Kepler-328 c,Transit,2,71.312,,,,,295.809296,40.008503,,,5914,1.15,1.06,,39.4,,5.4,0.05,,,,
Kepler-329 b,Transit,2,7.416397,0.061,,,,299.268036,45.227428,,,4257,0.53,0.52,,,,1.4,0.013,,,,
Kepler-329 c,Transit,2,18.684737,0.113,,,,299.268036,45.227428,,,4257,0.53,0.52,,,,1.93,0.018,,,,
Kepler-330 b,Transit,2,8.25978,0.075,,,,288.447388,44.801685,,,5117,0.78,0.72,,,,1.35,0.012,,,,
Kepler-330 c,Transit,2,15.955387,0.116,,,,288.447388,44.801685,,,5117,0.78,0.72,,,,1.95,0.018,,,,
Kepler-331 b,Transit,3,8.457496,0.065,,,,291.83432,39.307358,,,4347,0.51,0.49,,,,1.82,0.017,,,,
Kepler-331 c,Transit,3,17.28111,0.105,,,,291.83432,39.307358,,,4347,0.51,0.49,,,,1.84,0.017,,,,
Kepler-331 d,Transit,3,32.134328,0.159,,,,291.83432,39.307358,,,4347,0.51,0.49,,,,1.64,0.015,,,,
Kepler-332 b,Transit,3,7.626324,0.07,,,,286.662964,47.4137,,,4955,0.8,0.72,,,,1.17,0.011,,,,
Kepler-332 c,Transit,3,15.995622,0.114,,,,286.662964,47.4137,,,4955,0.8,0.72,,,,1.09,0.01,,,,
Kepler-332 d,Transit,3,34.21154,0.189,,,,286.662964,47.4137,,,4955,0.8,0.72,,,,1.18,0.011,,,,
Kepler-333 b,Transit,2,12.551158,0.087,,,,292.286072,40.913586,,,4259,0.54,0.53,,,,1.32,0.012,,,,
Kepler-333 c,Transit,2,24.08821,0.135,,,,292.286072,40.913586,,,4259,0.54,0.53,,,,1.11,0.01,,,,
Kepler-334 b,Transit,3,5.470319,0.061,,,,287.140656,47.115196,,,5828,1,1.07,,,,1.12,0.01,,,,
Kepler-334 c,Transit,3,12.758005,0.107,,,,287.140656,47.115196,,,5828,1,1.07,,,,1.43,0.013,,,,
Kepler-334 d,Transit,3,25.09849,0.168,,,,287.140656,47.115196,,,5828,1,1.07,,,,1.41,0.013,,,,
Kepler-335 b,Transit,2,6.562331,0.075,,,,296.064301,45.428623,,,5877,0.99,1.85,,,,3.39,0.031,,,,
Kepler-335 c,Transit,2,67.844469,0.356,,,,296.064301,45.428623,,,5877,0.99,1.85,,,,3.07,0.028,,,,
Kepler-336 b,Transit,3,2.024823,0.033,,,,290.23764,41.331371,,,5867,0.89,1.3,,,,1.02,0.009,,,,
Kepler-336 c,Transit,3,9.600001,0.092,,,,290.23764,41.331371,,,5867,0.89,1.3,,,,2.1,0.019,,,,
Kepler-336 d,Transit,3,20.678772,0.154,,,,290.23764,41.331371,,,5867,0.89,1.3,,,,2.37,0.022,,,,
Kepler-337 b,Transit,2,3.292781,0.045,,,,290.060486,47.163956,,,5684,0.96,1.76,,,,1.54,0.014,,,,
Kepler-337 c,Transit,2,9.693201,0.093,,,,290.060486,47.163956,,,5684,0.96,1.76,,,,2.05,0.019,,,,
Kepler-338 b,Transit,4,13.726976,0.117,,,,282.978943,40.784348,,,5923,1.1,1.74,,,,2.44,0.022,,,,
Kepler-338 c,Transit,4,24.310856,0.172,,,,282.978943,40.784348,,,5923,1.1,1.74,,,,2.34,0.021,,,,
Kepler-338 d,Transit,4,44.431014,0.257,,,,282.978943,40.784348,,,5923,1.1,1.74,,,,3,0.028,,,,
Kepler-338 e,Transit Timing Variations,4,9.341,,,,,282.978943,40.784348,,,5923,1.1,1.74,,8.5,,1.56,0.014,,,,
Kepler-339 b,Transit,3,4.977656,0.055,,,,293.351715,48.444641,,,5631,0.84,0.8,,,,1.42,0.013,,,,
Kepler-339 c,Transit,3,6.988055,0.069,,,,293.351715,48.444641,,,5631,0.84,0.8,,,,1.15,0.011,,,,
Kepler-339 d,Transit,3,10.558345,0.091,,,,293.351715,48.444641,,,5631,0.84,0.8,,,,1.17,0.011,,,,
Kepler-340 b,Transit,2,14.844387,0.134,,,,295.933472,40.300571,,,6620,2.11,1.85,,,,2.53,0.023,,,,
Kepler-340 c,Transit,2,22.824669,0.178,,,,295.933472,40.300571,,,6620,2.11,1.85,,,,3.37,0.031,,,,
Kepler-341 b,Transit,4,5.195528,0.06,,,,289.861572,43.472775,,,6012,0.94,1.02,,,,1.18,0.011,,,,
Kepler-341 c,Transit,4,8.01041,0.08,,,,289.861572,43.472775,,,6012,0.94,1.02,,,,1.7,0.016,,,,
Kepler-341 d,Transit,4,27.666313,0.182,,,,289.861572,43.472775,,,6012,0.94,1.02,,,,1.85,0.017,,,,
Kepler-341 e,Transit,4,42.473269,0.242,,,,289.861572,43.472775,,,6012,0.94,1.02,,,,1.99,0.018,,,,
Kepler-342 b,Transit,3,15.170318,0.128,,,,292.67807,46.726715,,,6175,1.13,1.47,,,,2.25,0.021,,,,
Kepler-342 c,Transit,3,26.234138,0.185,,,,292.67807,46.726715,,,6175,1.13,1.47,,,,1.96,0.018,,,,
Kepler-342 d,Transit,3,39.459357,0.242,,,,292.67807,46.726715,,,6175,1.13,1.47,,,,2.49,0.023,,,,
Kepler-343 b,Transit,2,8.96855,0.088,,,,291.960693,42.433006,,,5807,1.04,1.43,,,,2.41,0.022,,,,
Kepler-343 c,Transit,2,23.22182,0.167,,,,291.960693,42.433006,,,5807,1.04,1.43,,,,2.02,0.018,,,,
Kepler-344 b,Transit,2,21.963945,0.153,,,,292.499634,46.324406,,,5774,0.9,0.98,,,,2.61,0.024,,,,
Kepler-344 c,Transit,2,125.596809,0.488,,,,292.499634,46.324406,,,5774,0.9,0.98,,,,2.95,0.027,,,,
Kepler-345 b,Transit,2,7.415563,0.066,,,,295.22879,45.97102,,,4504,0.59,0.62,,,,0.74,0.007,,,,
Kepler-345 c,Transit,2,9.387427,0.077,,,,295.22879,45.97102,,,4504,0.59,0.62,,,,1.2,0.011,,,,
Kepler-346 b,Transit,2,6.511127,0.071,,,,288.011902,46.117607,,,6033,0.97,1.02,,,,2.66,0.024,,,,
Kepler-346 c,Transit,2,23.851549,0.168,,,,288.011902,46.117607,,,6033,0.97,1.02,,,,3.07,0.028,,,,
Kepler-347 b,Transit,2,12.79836,0.11,,,,289.199585,49.305717,,,6088,1.04,1,,,,1.97,0.018,,,,
Kepler-347 c,Transit,2,27.320871,0.183,,,,289.199585,49.305717,,,6088,1.04,1,,,,1.75,0.016,,,,
Kepler-348 b,Transit,2,7.05677,0.076,,,,297.255035,40.548374,,,6177,1.15,1.36,,,,1.52,0.014,,,,
Kepler-348 c,Transit,2,17.265427,0.138,,,,297.255035,40.548374,,,6177,1.15,1.36,,,,1.33,0.012,,,,
Kepler-349 b,Transit,2,5.929778,0.065,,,,293.676483,44.615578,,,5956,0.97,0.93,,,,1.9,0.017,,,,
Kepler-349 c,Transit,2,12.247629,0.105,,,,293.676483,44.615578,,,5956,0.97,0.93,,,,1.96,0.018,,,,
Kepler-350 b,Transit,3,11.189562,0.104,,,,285.419617,39.706108,,,6186,1,1.53,,,,1.85,0.017,,,,
Kepler-350 c,Transit,3,17.849,,,,,285.419617,39.706108,,,6186,1,1.53,,6.1,,3.1,0.028,,,,
Kepler-350 d,Transit,3,26.136,,,,,285.419617,39.706108,,,6186,1,1.53,,14.9,,2.8,0.026,,,,
Kepler-351 b,Transit,2,37.054919,0.214,,,,286.452698,42.657879,,,5643,0.89,0.85,,,,3.06,0.028,,,,
Kepler-351 c,Transit,2,57.24809,0.287,,,,286.452698,42.657879,,,5643,0.89,0.85,,,,3.19,0.029,,,,
Kepler-352 b,Transit,2,10.05537,0.085,,,,299.896515,46.051975,,,5212,0.79,0.78,,,,0.86,0.008,,,,
Kepler-352 c,Transit,2,16.332995,0.118,,,,299.896515,46.051975,,,5212,0.79,0.78,,,,1.24,0.011,,,,
Kepler-353 b,Transit,2,5.795278,0.051,,,,296.856628,41.758179,,,3903,0.54,0.5,,,,0.89,0.008,,,,
Kepler-353 c,Transit,2,8.410894,0.065,,,,296.856628,41.758179,,,3903,0.54,0.5,,,,1.38,0.013,,,,
Kepler-354 b,Transit,3,5.47666,0.054,,,,285.751465,41.33564,,,4648,0.65,0.67,,,,1.84,0.017,,,,
Kepler-354 c,Transit,3,16.934402,0.115,,,,285.751465,41.33564,,,4648,0.65,0.67,,,,1.31,0.012,,,,
Kepler-354 d,Transit,3,24.209842,0.146,,,,285.751465,41.33564,,,4648,0.65,0.67,,,,1.24,0.011,,,,
Kepler-355 b,Transit,2,11.03189,0.102,,,,285.799469,42.811783,,,6184,1.05,1.07,,,,1.46,0.013,,,,
Kepler-355 c,Transit,2,25.762294,0.179,,,,285.799469,42.811783,,,6184,1.05,1.07,,,,2.71,0.025,,,,
Kepler-356 b,Transit,2,4.612696,0.057,,,,292.421082,37.682819,,,6133,0.97,1.33,,,,1.57,0.014,,,,
Kepler-356 c,Transit,2,13.121632,0.115,,,,292.421082,37.682819,,,6133,0.97,1.33,,,,1.81,0.017,,,,
Kepler-357 b,Transit,3,6.475434,0.063,,,,291.243103,44.00872,,,5036,0.78,0.83,,,,1.84,0.017,,,,
Kepler-357 c,Transit,3,16.85837,0.12,,,,291.243103,44.00872,,,5036,0.78,0.83,,,,2.67,0.025,,,,
Kepler-357 d,Transit,3,49.499875,0.246,,,,291.243103,44.00872,,,5036,0.78,0.83,,,,3.43,0.032,,,,
Kepler-358 b,Transit,2,34.060467,0.21,,,,293.230225,48.281376,,,5908,0.95,0.95,,,,2.72,0.025,,,,
Kepler-358 c,Transit,2,83.488369,0.381,,,,293.230225,48.281376,,,5908,0.95,0.95,,,,2.85,0.026,,,,
Kepler-359 b,Transit,3,25.563222,0.178,,,,293.29364,42.196354,,,6248,1.07,1.09,,,,3.53,0.032,,,,
Kepler-359 c,Transit,3,57.68802,0.307,,,,293.29364,42.196354,,,6248,1.07,1.09,,,,4.3,0.039,,,,
Kepler-359 d,Transit,3,77.095691,0.372,,,,293.29364,42.196354,,,6248,1.07,1.09,,,,4.01,0.037,,,,
Kepler-360 b,Transit,2,3.289672,0.044,,,,286.284729,44.781555,,,6053,0.95,1.06,,,,1.65,0.015,,,,
Kepler-360 c,Transit,2,7.186434,0.075,,,,286.284729,44.781555,,,6053,0.95,1.06,,,,2.1,0.019,,,,
Kepler-361 b,Transit,2,8.486616,0.086,,,,296.803467,46.741154,,,6169,1.07,1.34,,,,1.45,0.013,,,,
Kepler-361 c,Transit,2,55.188023,0.3,,,,296.803467,46.741154,,,6169,1.07,1.34,,,,2.52,0.023,,,,
Kepler-362 b,Transit,2,10.327186,0.087,,,,291.771637,47.529903,,,5788,0.77,0.72,,,,0.88,0.008,,,,
Kepler-362 c,Transit,2,37.866281,0.207,,,,291.771637,47.529903,,,5788,0.77,0.72,,,,1.45,0.013,,,,
Kepler-363 b,Transit,3,3.614568,0.048,,,,283.192078,41.305393,,,5593,1.23,1.49,,,,1.16,0.011,,,,
Kepler-363 c,Transit,3,7.542427,0.079,,,,283.192078,41.305393,,,5593,1.23,1.49,,,,1.69,0.015,,,,
Kepler-363 d,Transit,3,11.932125,0.107,,,,283.192078,41.305393,,,5593,1.23,1.49,,,,2.05,0.019,,,,
Kepler-364 b,Transit,2,25.745718,0.178,,,,281.569946,47.398697,,,6108,1.2,1.28,,,,1.55,0.014,,,,
Kepler-364 c,Transit,2,59.980627,0.312,,,,281.569946,47.398697,,,6108,1.2,1.28,,,,2.15,0.02,,,,
Kepler-365 b,Transit,2,10.664903,0.098,,,,295.626587,49.130436,,,6012,0.99,1.05,,,,2.04,0.019,,,,
Kepler-365 c,Transit,2,17.784129,0.137,,,,295.626587,49.130436,,,6012,0.99,1.05,,,,1.64,0.015,,,,
Kepler-366 b,Transit,2,3.281959,0.045,,,,296.852051,49.084446,,,6209,1.05,1.05,,,,1.46,0.013,,,,
Kepler-366 c,Transit,2,12.51616,0.11,,,,296.852051,49.084446,,,6209,1.05,1.05,,,,1.79,0.016,,,,
Kepler-367 b,Transit,2,37.815724,0.201,,,,297.292419,49.981632,,,4710,0.75,0.69,,,,1.3,0.012,,,,
Kepler-367 c,Transit,2,53.578637,0.253,,,,297.292419,49.981632,,,4710,0.75,0.69,,,,1.2,0.011,,,,
Kepler-368 b,Transit,2,26.84768,0.186,,,,291.880035,45.387936,,,5502,0.71,2.02,,,,3.26,0.03,,,,
Kepler-368 c,Transit,2,72.379334,0.36,,,,291.880035,45.387936,,,5502,0.71,2.02,,,,3.88,0.036,,,,
Kepler-369 b,Transit,2,2.732756,0.03,,,,293.674225,47.908466,,,3591,0.54,0.47,,,,1.13,0.01,,,,
Kepler-369 c,Transit,2,14.871572,0.094,,,,293.674225,47.908466,,,3591,0.54,0.47,,,,1.41,0.013,,,,
Kepler-370 b,Transit,2,4.57953,0.054,,,,292.171112,40.916306,,,5852,0.94,0.9,,,,1.59,0.015,,,,
Kepler-370 c,Transit,2,19.02293,0.14,,,,292.171112,40.916306,,,5852,0.94,0.9,,,,1.91,0.018,,,,
Kepler-371 b,Transit,2,34.763278,0.2,,,,292.326477,38.657589,,,5666,0.94,0.99,,,,1.89,0.017,,,,
Kepler-371 c,Transit,2,67.968015,0.313,,,,292.326477,38.657589,,,5666,0.94,0.99,,,,1.78,0.016,,,,
Kepler-372 b,Transit,3,6.849692,0.075,,,,291.256195,49.258953,,,6509,1.15,1.14,,,,1.36,0.013,,,,
Kepler-372 c,Transit,3,20.053763,0.154,,,,291.256195,49.258953,,,6509,1.15,1.14,,,,2.09,0.019,,,,
Kepler-372 d,Transit,3,30.092568,0.201,,,,291.256195,49.258953,,,6509,1.15,1.14,,,,1.69,0.015,,,,
Kepler-373 b,Transit,2,5.535309,0.06,,,,289.388,50.59705,,,5787,0.87,0.84,,,,1.36,0.013,,,,
Kepler-373 c,Transit,2,16.725948,0.126,,,,289.388,50.59705,,,5787,0.87,0.84,,,,1.24,0.011,,,,
Kepler-374 b,Transit,3,1.897806,0.029,,,,294.137939,42.370502,,,5977,0.84,0.91,,,,1.03,0.009,,,,
Kepler-374 c,Transit,3,3.282807,0.042,,,,294.137939,42.370502,,,5977,0.84,0.91,,,,1.1,0.01,,,,
