planetName,discoveryMethod,planetsInSystem,orbitalPeriod,orbitalSemiMajorAxis,orbitalEccentricity,planetDensity,orbitalInclination,rightAscension,Declination,distanceParsecs,vBand,stellarTemperature,solarMass,solarRadii,periastronDays,planetEarthMasses,planetEarthMassSinI,planetEarthRadii,planetSolarRadii,stellarRadialVelocity,spectralType,stellarLuminosity,stellarDensity
CoRoT-27 b,Transit,1,3.57532,0.0476,0.065,12.6,86.7,278.495819,5.538462,,15.54,5900,1.05,1.08,,3302.11,,11.287,0.103,-4.09,4.2,,1.24
DENIS-P J082303.1-491201 b,Astrometry,1,246.36,0.36,0.345,,56.6,125.763046,-49.200359,20.77,,,0.07,,,9057.77,,,,,7.15,,
GJ 86 b,Radial Velocity,1,15.76491,0.113,0.0416,,,32.608059,-50.823723,10.91,6.12,5151,0.77,,2451903.36,,1242.66,,,56.7,5.1,,
GJ 163 b,Radial Velocity,3,8.631,0.061,0.11,,,62.315273,-53.373699,14.97,11.81,3500,0.4,,2455042.553,,11,,,58.6,6.35,-1.708,
GJ 163 c,Radial Velocity,3,25.6,0.13,0.08,,,62.315273,-53.373699,14.97,11.81,3500,0.4,,2455057.7,,7.7,,,58.6,6.35,-1.708,
GJ 163 d,Radial Velocity,3,603,1,0.41,,,62.315273,-53.373699,14.97,11.81,3500,0.4,,2455275,,25,,,58.6,6.35,-1.708,
GJ 179 b,Radial Velocity,1,2288,2.41,0.21,,,73.023865,6.476539,12.12,12,3370,0.36,0.38,2455140,,260.61,,,,6.35,-1.796,
GJ 317 b,Radial Velocity,1,692,1.15,0.11,,45,130.246735,-23.456289,15.1,11.97,3510,0.42,,2451656.7,794.5,601.945,,,87.8,6.25,,
GJ 328 b,Radial Velocity,1,4100,4.5,0.37,,,133.781754,1.546508,20.03,9.97,3900,0.69,,2454500,,731,,,,6.1,,
GJ 433 b,Radial Velocity,1,7.3709,0.058,0.08,,,173.862289,-32.53997,9.04,9.806,3600,0.48,,2454287,,5.79,,,18,6.15,-1.469,
GJ 436 b,Radial Velocity,1,2.64385,0.02872,,1.69,86.36,175.546219,26.70657,10.23,10.65,3350,0.45,0.46,,23.1688,,4.222,0.039,9.6,6.25,-1.585,6.43
GJ 504 b,Imaging,1,,43.5,,,,199.193817,9.424156,17.95,5.22,6234,1.22,,,1271.3,,,,-27.4,4,0.332,
GJ 581 b,Radial Velocity,4,5.36874,0.04,0,,,229.861771,-7.72228,6.27,10.56,,0.31,0.29,2454712.62,,15.65,,,-9.21,6.3,-1.886,
GJ 581 c,Radial Velocity,4,12.9292,0.07,0.17,,,229.861771,-7.72228,6.27,10.56,,0.31,0.29,2454699.42,,5.36,,,-9.21,6.3,-1.886,
GJ 581 d,Radial Velocity,4,66.8,0.22,0.38,,,229.861771,-7.72228,6.27,10.56,,0.31,0.29,2454603,,7.09,,,-9.21,6.3,-1.886,
GJ 581 e,Radial Velocity,4,3.14942,0.03,0,,,229.861771,-7.72228,6.27,10.56,,0.31,0.29,2454716.8,,1.94,,,-9.21,6.3,-1.886,
GJ 649 b,Radial Velocity,1,598.3,1.135,0.3,,,254.53688,25.74416,10.32,9.69,3700,0.54,,2412876,,104.244,,,4.3,6.15,,
GJ 667 C b,Radial Velocity,6,7.2004,0.0505,0.13,,,259.745087,-34.996826,6.8,10.22,3600,0.33,,,,5.6,,,6.5,6.15,-1.854,
GJ 667 C c,Radial Velocity,6,28.14,0.125,0.02,,,259.745087,-34.996826,6.8,10.22,3600,0.33,,,,3.8,,,6.5,6.15,-1.854,
GJ 667 C d,Radial Velocity,6,91.61,0.276,0.03,,,259.745087,-34.996826,6.8,10.22,3600,0.33,,,,5.1,,,6.5,6.15,-1.854,
GJ 667 C e,Radial Velocity,6,62.24,0.213,0.02,,,259.745087,-34.996826,6.8,10.22,3600,0.33,,,,2.7,,,6.5,6.15,-1.854,
GJ 667 C f,Radial Velocity,6,39.026,0.156,0.03,,,259.745087,-34.996826,6.8,10.22,3600,0.33,,,,2.7,,,6.5,6.15,-1.854,
GJ 667 C g,Radial Velocity,6,256.2,0.549,0.08,,,259.745087,-34.996826,6.8,10.22,3600,0.33,,,,4.6,,,6.5,6.15,-1.854,
GJ 674 b,Radial Velocity,1,4.6938,0.039,0.2,,,262.166443,-46.895191,4.54,9.37,3600,0.35,,2453780.085,,11.09,,,,6.25,-1.796,
GJ 676 A b,Radial Velocity,3,1050.3,1.8,0.328,,,262.546692,-51.636978,16.13,9.58,,0.71,,,,1570,,,,6,,
GJ 676 A d,Radial Velocity,3,3.6,0.0413,0.15,,,262.546692,-51.636978,16.13,9.58,,0.71,,,,4.4,,,,6,,
GJ 676 A e,Radial Velocity,3,35.37,0.187,0.24,,,262.546692,-51.636978,16.13,9.58,,0.71,,,,11.5,,,,6,,
GJ 687 b,Radial Velocity,1,38.14,0.16353,0.04,,,264.10791,68.339142,4.53,9.15,3413,0.41,0.42,2450579.11,,18.394,,,-28.8,6.3,-1.672,
GJ 832 b,Radial Velocity,1,3416,3.4,0.12,,,323.391571,-49.009006,4.94,8.66,3657,0.45,0.48,2451211,,203.4,,,,6.15,,
GJ 849 b,Radial Velocity,1,1845,2.32,0.05,,,332.418121,-4.640729,8.77,10.37,,0.49,,2454000,,289.21,,,-15.3,6.3,,
GJ 876 b,Radial Velocity,4,61.1166,0.208317,0.0324,,59,343.319733,-14.2637,4.7,10.191,,0.33,,2450602.093,723.2235,,,,-1.6,6.4,-1.886,
GJ 876 c,Radial Velocity,4,30.0881,0.12959,0.25591,,59,343.319733,-14.2637,4.7,10.191,,0.33,,2450602.093,226.9846,,,,-1.6,6.4,-1.886,
GJ 876 d,Radial Velocity,4,1.93778,0.020807,0.207,,59,343.319733,-14.2637,4.7,10.191,,0.33,,2450602.093,6.83,,,,-1.6,6.4,-1.886,
GJ 876 e,Radial Velocity,4,124.26,0.3343,0.055,,59,343.319733,-14.2637,4.7,10.191,,0.33,,2450602.093,14.6,,,,-1.6,6.4,-1.886,
GJ 1214 b,Transit,1,1.58040482,,0,3.03,90,258.828827,4.96392,,14.68,3170,0.16,0.18,,6.43,,2.27,0.021,-21.1,6.45,,38.4
GJ 3021 b,Radial Velocity,1,133.71,0.49,0.511,,,4.052823,-79.851181,17.62,6.582,5540,0.9,0.9,2451545.86,,1071.04,,,-5.81,4.6,-0.18,
GJ 3470 b,Radial Velocity,1,3.33714,0.0348,0.051,1.07,88.8,119.774345,15.391492,25.2,12.33,3600,0.54,0.5,,14,,4.2,0.039,26.52,6.15,-1.538,
GJ 3634 b,Radial Velocity,1,2.64561,0.0287,0.08,,59,164.64624,-31.14399,19.8,11.93,,0.45,0.43,2454917.04,2669.7,7,,,5.19,6.25,-1.699,
GSC 06214-00210 b,Imaging,1,,300,,,,245.477783,-20.719202,145,,,0.6,,,4258.7,,,,,6.1,,
HAT-P-1 b,Transit,1,4.4652934,,0,0.345,86.28,344.445104,38.674953,139,10.34,5975,1.12,1.15,,166.536,,13.731,0.126,,4,0.18,
HAT-P-2 b,Transit,1,5.6334729,0.06878,0.5171,7.29,86.72,245.151489,41.048084,135.32,8.689,6290,1.36,1.64,,2888.95,,12.969,0.119,,3.8,0.577,
HAT-P-3 b,Transit,1,2.899736,0.03866,0,1.29,87.07,206.09411,48.02867,138,11.577,5185,0.92,0.8,,187.83,,9.27,0.085,,5,-0.362,2.53
HAT-P-4 b,Transit,1,3.056536,0.04438,0,0.403,89.91,229.991355,36.22962,314,11.118,5860,1.26,1.6,,213.255,,14.28,0.131,,4.1,0.431,
HAT-P-5 b,Transit,1,2.788491,0.04075,0,0.66,86.75,274.405487,36.62141,342,12,5960,1.16,1.14,,336.89,,14.12,0.13,,,0.188,
HAT-P-6 b,Transit,1,3.852985,0.05235,0,0.558,85.51,354.774231,42.465973,261,10.44,6570,1.29,1.46,,335.932,,14.908,0.137,-22.7,,0.555,
HAT-P-8 b,Transit,1,3.0763776,0.0487,0,0.568,87.5,343.041077,35.447109,230,10.3,6200,1.28,1.58,,483.08,,16.81,0.154,-22.53,,0.519,
HAT-P-9 b,Transit,1,3.92289,0.053,0,0.35,86.5,110.168526,37.140652,480,12.297,6350,1.28,1.32,,247.9,,15.69,0.144,,,0.41,
